epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.248,1.98502,2.77686,1.52128,0.33333,0.27253,0.18227,0.10392,1.33006,1.48983,1.21966,0.000207668,0.000207668,0.000207668
2,365.959,1.45374,1.5942,1.22199,0.39222,0.39088,0.31054,0.17174,1.19169,1.23192,1.12944,0.000411883,0.000411883,0.000411883
3,543.635,1.34947,1.41998,1.17466,0.3926,0.39924,0.32771,0.1838,1.12913,1.19489,1.1144,0.000611973,0.000611973,0.000611973
4,719.761,1.2885,1.3377,1.16054,0.4434,0.4541,0.40014,0.22723,1.03397,1.05271,1.07954,0.000606437,0.000606437,0.000606437
5,895.409,1.22433,1.26324,1.1411,0.45696,0.46199,0.4049,0.23139,1.06422,1.04214,1.08009,0.00060025,0.00060025,0.00060025
6,1070.61,1.21037,1.22344,1.13303,0.48791,0.4602,0.4228,0.22896,1.08263,1.04521,1.0927,0.000594062,0.000594062,0.000594062
7,1246.33,1.18806,1.19539,1.12808,0.49095,0.46176,0.42998,0.25065,0.98713,1.01394,1.05802,0.000587875,0.000587875,0.000587875
8,1421.41,1.13829,1.14545,1.10731,0.54794,0.52554,0.50022,0.299,0.91073,0.90159,1.0265,0.000581687,0.000581687,0.000581687
9,1596.16,1.11934,1.12584,1.1052,0.52971,0.52011,0.49685,0.2938,0.87824,0.88816,1.01574,0.0005755,0.0005755,0.0005755
10,1771.05,1.09013,1.09438,1.09337,0.54947,0.49463,0.47106,0.27847,0.89927,0.89167,1.02142,0.000569313,0.000569313,0.000569313
11,1946.28,1.07758,1.07519,1.09056,0.5868,0.56237,0.54401,0.30483,0.96033,0.88287,1.04603,0.000563125,0.000563125,0.000563125
12,2121.08,1.06583,1.06441,1.08663,0.62972,0.58346,0.58182,0.36451,0.88262,0.81927,1.01509,0.000556938,0.000556938,0.000556938
13,2295.31,1.06151,1.05222,1.08377,0.66604,0.5652,0.59605,0.35681,0.89281,0.80392,1.02619,0.00055075,0.00055075,0.00055075
14,2470.4,1.03942,1.03118,1.07609,0.67207,0.58899,0.61846,0.39153,0.8182,0.78114,0.99305,0.000544563,0.000544563,0.000544563
15,2645.15,1.03435,1.02515,1.07654,0.66878,0.60708,0.63414,0.39,0.87083,0.7796,1.00963,0.000538375,0.000538375,0.000538375
16,2819.49,1.02659,1.00585,1.06829,0.66806,0.60226,0.6248,0.38886,0.86537,0.76782,1.00104,0.000532187,0.000532187,0.000532187
17,2993.37,1.01643,0.9971,1.06619,0.56429,0.44414,0.44733,0.2519,1.07516,1.00003,1.1414,0.000526,0.000526,0.000526
18,3167.82,1.00096,0.98543,1.06332,0.68704,0.60588,0.63318,0.39471,0.80341,0.75632,0.98441,0.000519812,0.000519812,0.000519812
19,3342.54,1.00942,0.98163,1.0622,0.70659,0.63267,0.66925,0.42783,0.8142,0.7365,0.98217,0.000513625,0.000513625,0.000513625
20,3516.72,0.98035,0.96456,1.05676,0.69356,0.61701,0.65072,0.41734,0.78949,0.74016,0.98487,0.000507438,0.000507438,0.000507438
21,3691.39,0.98225,0.97182,1.0578,0.68013,0.5873,0.62791,0.37373,0.86229,0.76848,1.01324,0.00050125,0.00050125,0.00050125
22,3865.42,0.97444,0.95621,1.0533,0.73023,0.6576,0.68475,0.44288,0.76486,0.69665,0.9685,0.000495063,0.000495063,0.000495063
23,4040,0.96382,0.94645,1.04757,0.70502,0.63163,0.67029,0.43424,0.77052,0.71979,0.97257,0.000488875,0.000488875,0.000488875
24,4214.48,0.9566,0.94047,1.04888,0.71034,0.62186,0.66708,0.43876,0.76192,0.70553,0.97135,0.000482687,0.000482687,0.000482687
25,4388.83,0.95521,0.93362,1.04626,0.69222,0.60883,0.6471,0.41331,0.80448,0.73822,0.98138,0.0004765,0.0004765,0.0004765
26,4562.98,0.95047,0.9325,1.04411,0.74051,0.69007,0.72185,0.47572,0.74741,0.65849,0.9674,0.000470312,0.000470312,0.000470312
27,4736.75,0.93778,0.92039,1.03884,0.71067,0.63614,0.67517,0.43265,0.77885,0.69755,0.97426,0.000464125,0.000464125,0.000464125
28,4909.33,0.94507,0.92257,1.04291,0.73486,0.69166,0.71754,0.4786,0.74076,0.65397,0.95404,0.000457938,0.000457938,0.000457938
29,5082.04,0.9412,0.91934,1.04288,0.76165,0.70129,0.73604,0.49501,0.72507,0.65483,0.94909,0.00045175,0.00045175,0.00045175
30,5254.58,0.92155,0.91245,1.03977,0.74296,0.69942,0.7315,0.48035,0.74974,0.65293,0.96124,0.000445562,0.000445562,0.000445562
31,5427.37,0.9257,0.90685,1.03663,0.75357,0.70339,0.74027,0.5028,0.68506,0.64214,0.94538,0.000439375,0.000439375,0.000439375
