epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.044,1.97917,2.9638,1.65319,0.2419,0.29644,0.17951,0.08623,1.95442,2.83608,1.6642,0.000371313,0.000371313,0.000371313
43,167.823,2.04196,2.98508,1.69083,0.24299,0.30602,0.18835,0.092,1.95101,2.84293,1.68099,0.000365125,0.000365125,0.000365125
44,171.561,1.9295,2.86422,1.59742,0.24142,0.30304,0.19735,0.09331,1.88466,2.76028,1.64111,0.000358938,0.000358938,0.000358938
45,175.314,1.91618,2.89833,1.61036,0.24846,0.33254,0.19292,0.09373,1.86579,2.73105,1.6369,0.00035275,0.00035275,0.00035275
46,179.225,1.8957,2.82872,1.60868,0.27616,0.35245,0.19529,0.09241,1.91657,2.75043,1.66753,0.000346563,0.000346563,0.000346563
47,182.957,1.92776,2.8252,1.6163,0.28689,0.33531,0.21815,0.09827,1.92494,2.69699,1.68996,0.000340375,0.000340375,0.000340375
48,186.722,1.88194,2.72189,1.58616,0.28275,0.33898,0.21214,0.10223,1.85767,2.74308,1.64427,0.000334188,0.000334188,0.000334188
49,190.444,1.90583,2.82397,1.59226,0.26108,0.34515,0.20878,0.10185,1.84357,2.76296,1.63555,0.000328,0.000328,0.000328
50,194.313,1.9298,2.86996,1.63573,0.2613,0.3201,0.20954,0.10013,1.83962,2.76515,1.61626,0.000321812,0.000321812,0.000321812
51,198.066,1.87706,2.79445,1.61171,0.30565,0.33398,0.23557,0.10655,1.87001,2.75483,1.65482,0.000315625,0.000315625,0.000315625
52,201.803,1.80452,2.79368,1.58036,0.31858,0.36092,0.25038,0.11453,1.89714,2.69036,1.66285,0.000309437,0.000309437,0.000309437
53,205.533,1.93603,2.72614,1.58167,0.30555,0.35386,0.24498,0.11496,1.87433,2.68659,1.65216,0.00030325,0.00030325,0.00030325
54,209.433,1.99109,2.85934,1.657,0.30157,0.34299,0.23685,0.11592,1.78756,2.66287,1.60598,0.000297063,0.000297063,0.000297063
55,213.211,1.92649,2.78108,1.62235,0.30644,0.32856,0.24933,0.12107,1.76749,2.6243,1.58228,0.000290875,0.000290875,0.000290875
56,216.931,1.9257,2.76738,1.60427,0.31612,0.32217,0.25569,0.12686,1.77321,2.63359,1.58,0.000284688,0.000284688,0.000284688
57,220.67,1.82386,2.72639,1.58508,0.31546,0.34451,0.25866,0.1262,1.76337,2.62539,1.57394,0.0002785,0.0002785,0.0002785
58,224.341,1.84232,2.71772,1.59893,0.30072,0.36423,0.25263,0.12614,1.75879,2.59308,1.57678,0.000272313,0.000272313,0.000272313
59,228.156,1.79911,2.65326,1.55474,0.29669,0.37338,0.25324,0.12487,1.78049,2.54487,1.58152,0.000266125,0.000266125,0.000266125
60,231.868,1.8595,2.68293,1.5748,0.31282,0.36339,0.26739,0.13064,1.76593,2.52062,1.55873,0.000259938,0.000259938,0.000259938
61,235.607,1.82121,2.69968,1.588,0.30533,0.37494,0.26785,0.1323,1.75226,2.52006,1.54524,0.00025375,0.00025375,0.00025375
62,239.406,1.79632,2.58219,1.55421,0.296,0.37818,0.26207,0.12536,1.71292,2.5342,1.52368,0.000247563,0.000247563,0.000247563
63,243.129,1.78165,2.69225,1.60705,0.26766,0.38082,0.24042,0.1156,1.71814,2.56795,1.52661,0.000241375,0.000241375,0.000241375
64,246.934,1.77161,2.57845,1.51427,0.25857,0.39489,0.24504,0.11672,1.71747,2.54819,1.53924,0.000235188,0.000235188,0.000235188
65,250.642,1.84685,2.58344,1.56379,0.26632,0.38968,0.24983,0.12365,1.75346,2.56159,1.56126,0.000229,0.000229,0.000229
66,254.355,1.81913,2.63807,1.54547,0.3024,0.36102,0.26234,0.12814,1.81835,2.55535,1.6135,0.000222813,0.000222813,0.000222813
67,258.125,1.8084,2.64469,1.56568,0.29345,0.37528,0.2694,0.13006,1.792,2.51684,1.60694,0.000216625,0.000216625,0.000216625
68,261.859,1.74771,2.57426,1.52198,0.28671,0.36093,0.27075,0.13251,1.76581,2.49093,1.57163,0.000210437,0.000210437,0.000210437
69,265.739,1.76085,2.50756,1.51896,0.30157,0.36223,0.27677,0.13474,1.77039,2.48527,1.56785,0.00020425,0.00020425,0.00020425
70,269.559,1.7711,2.59253,1.53096,0.30856,0.37575,0.27657,0.13381,1.78331,2.53131,1.56694,0.000198063,0.000198063,0.000198063
71,273.245,1.70597,2.48477,1.49132,0.29827,0.37189,0.28144,0.13722,1.75402,2.55345,1.55732,0.000191875,0.000191875,0.000191875
72,277.041,1.73599,2.52575,1.53047,0.29514,0.38734,0.28303,0.13754,1.76522,2.53041,1.55407,0.000185688,0.000185688,0.000185688
73,280.834,1.78628,2.50244,1.56085,0.28967,0.37587,0.28598,0.13769,1.76028,2.52931,1.5541,0.0001795,0.0001795,0.0001795
