epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3616.33,1.12572,1.34823,1.24926,0.8906,0.8535,0.9235,0.74479,0.69543,0.62733,1.01936,0.005842,0.005842,0.005842
44,3699.26,1.12107,1.34914,1.24468,0.89314,0.86262,0.92441,0.73884,0.71096,0.61867,1.02076,0.005743,0.005743,0.005743
45,3784.72,1.11584,1.34454,1.24518,0.89931,0.85771,0.92639,0.74251,0.71121,0.61744,1.01826,0.005644,0.005644,0.005644
46,3869.73,1.11437,1.32848,1.23783,0.90681,0.86156,0.93177,0.75464,0.68669,0.59859,1.00702,0.005545,0.005545,0.005545
47,3954.7,1.10351,1.32274,1.23682,0.9051,0.86443,0.93127,0.75095,0.6998,0.5988,1.01093,0.005446,0.005446,0.005446
48,4033.68,1.10522,1.32708,1.23361,0.90543,0.87325,0.93396,0.75397,0.69122,0.59261,1.00966,0.005347,0.005347,0.005347
49,4113.85,1.10184,1.31509,1.23527,0.90417,0.87465,0.93371,0.76178,0.67198,0.58062,1.00008,0.005248,0.005248,0.005248
50,4192.63,1.0948,1.30791,1.22771,0.90365,0.87913,0.93542,0.77085,0.65513,0.5752,0.99368,0.005149,0.005149,0.005149
51,4271.2,1.08871,1.30877,1.2261,0.90233,0.87255,0.93262,0.7579,0.68484,0.58343,1.00486,0.00505,0.00505,0.00505
52,4350.56,1.08251,1.30723,1.22332,0.90749,0.8816,0.93736,0.7653,0.67575,0.56582,0.99349,0.004951,0.004951,0.004951
53,4430.19,1.08045,1.29166,1.21705,0.90684,0.87873,0.9364,0.76491,0.67339,0.57003,0.99523,0.004852,0.004852,0.004852
54,4510.57,1.07929,1.29531,1.22149,0.91438,0.8847,0.9396,0.76816,0.67479,0.55653,0.99428,0.004753,0.004753,0.004753
55,4591.41,1.07745,1.29214,1.21855,0.91367,0.8887,0.94216,0.76787,0.6783,0.55256,0.99612,0.004654,0.004654,0.004654
56,4671.18,1.0733,1.28004,1.21388,0.91561,0.89385,0.94276,0.77442,0.65966,0.54141,0.98296,0.004555,0.004555,0.004555
57,4751.01,1.06016,1.27423,1.20958,0.91588,0.89895,0.94527,0.78047,0.64825,0.52846,0.97801,0.004456,0.004456,0.004456
58,4831.47,1.06246,1.27986,1.21109,0.91875,0.89928,0.94557,0.78844,0.62789,0.52721,0.96816,0.004357,0.004357,0.004357
59,4911.61,1.0608,1.27343,1.2097,0.91902,0.89835,0.94601,0.78885,0.62671,0.52477,0.96635,0.004258,0.004258,0.004258
60,4991.24,1.05234,1.26391,1.20489,0.92076,0.90091,0.94691,0.78592,0.63918,0.52538,0.97117,0.004159,0.004159,0.004159
61,5070.73,1.04744,1.25717,1.20241,0.92038,0.90184,0.94753,0.78825,0.63178,0.51941,0.96756,0.00406,0.00406,0.00406
62,5150.33,1.04913,1.26309,1.20324,0.92318,0.90043,0.94794,0.78974,0.63305,0.5155,0.96814,0.003961,0.003961,0.003961
63,5230.54,1.04126,1.25833,1.20039,0.92292,0.90202,0.94797,0.79467,0.62212,0.51368,0.96492,0.003862,0.003862,0.003862
64,5310.31,1.04902,1.26207,1.20081,0.92138,0.90328,0.94802,0.80052,0.60745,0.51115,0.95845,0.003763,0.003763,0.003763
65,5389.82,1.03391,1.235,1.19163,0.92436,0.90537,0.94947,0.80386,0.60377,0.50327,0.95582,0.003664,0.003664,0.003664
66,5469.34,1.03264,1.23889,1.1895,0.92484,0.90441,0.94917,0.80598,0.59907,0.50037,0.95257,0.003565,0.003565,0.003565
67,5549.64,1.02826,1.2403,1.19158,0.92465,0.90307,0.94894,0.80903,0.58952,0.49541,0.94915,0.003466,0.003466,0.003466
68,5629.41,1.02526,1.24189,1.18896,0.92647,0.90415,0.94954,0.80613,0.59604,0.49487,0.95135,0.003367,0.003367,0.003367
69,5708.7,1.02653,1.24052,1.19162,0.92731,0.90688,0.95067,0.80458,0.60201,0.49235,0.9512,0.003268,0.003268,0.003268
