epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3487.73,0.26537,0.34403,0.82641,0.95513,0.99295,0.98555,0.97904,0.17084,0.15025,0.78962,0.005743,0.005743,0.005743
45,3566.38,0.26335,0.34032,0.82532,0.95114,0.99749,0.98499,0.97799,0.17103,0.1492,0.79156,0.005644,0.005644,0.005644
46,3645.3,0.26192,0.34076,0.82573,0.95121,0.99905,0.98585,0.97922,0.1696,0.14806,0.78963,0.005545,0.005545,0.005545
47,3723.96,0.2609,0.33699,0.82444,0.95084,0.99933,0.98588,0.97876,0.16698,0.14554,0.7896,0.005446,0.005446,0.005446
48,3801.37,0.26128,0.33757,0.82633,0.95278,0.99622,0.98585,0.97973,0.16649,0.14587,0.78941,0.005347,0.005347,0.005347
49,3879.37,0.25928,0.3361,0.82597,0.95115,0.99945,0.98589,0.98,0.1649,0.14649,0.78904,0.005248,0.005248,0.005248
50,3958.29,0.2568,0.33297,0.82417,0.95171,0.99669,0.98575,0.97996,0.16466,0.14403,0.78819,0.005149,0.005149,0.005149
51,4036.13,0.25556,0.33303,0.82465,0.9518,0.99905,0.98525,0.97914,0.16344,0.14468,0.78975,0.00505,0.00505,0.00505
52,4114.5,0.25493,0.33115,0.82287,0.95168,0.99951,0.98556,0.97947,0.1626,0.14354,0.78674,0.004951,0.004951,0.004951
53,4192.18,0.25517,0.3328,0.82412,0.95375,0.99666,0.98533,0.97888,0.16442,0.14456,0.79253,0.004852,0.004852,0.004852
54,4270.92,0.25299,0.33012,0.82342,0.95355,0.99766,0.98543,0.97912,0.16312,0.14078,0.79047,0.004753,0.004753,0.004753
55,4349.36,0.25181,0.32846,0.82337,0.95199,0.99972,0.985,0.97939,0.16107,0.14003,0.7904,0.004654,0.004654,0.004654
56,4427.22,0.24956,0.32731,0.82262,0.9531,0.99821,0.98491,0.97936,0.16387,0.14081,0.79115,0.004555,0.004555,0.004555
57,4505.38,0.24931,0.32666,0.82273,0.95138,0.9996,0.98533,0.97949,0.16325,0.14027,0.79129,0.004456,0.004456,0.004456
58,4582.86,0.24765,0.32382,0.8226,0.95103,0.99913,0.98558,0.97978,0.16203,0.1402,0.79002,0.004357,0.004357,0.004357
59,4662.41,0.24659,0.3228,0.82254,0.95253,0.99886,0.9856,0.97998,0.16023,0.13818,0.78972,0.004258,0.004258,0.004258
60,4741.31,0.24546,0.32208,0.82251,0.95187,0.99977,0.98556,0.98039,0.16024,0.13776,0.78977,0.004159,0.004159,0.004159
61,4819.61,0.24509,0.32056,0.82161,0.95262,0.99876,0.9856,0.98009,0.15998,0.13789,0.79139,0.00406,0.00406,0.00406
62,4897.17,0.24488,0.31934,0.82237,0.95161,0.99979,0.98522,0.9801,0.16011,0.13612,0.79073,0.003961,0.003961,0.003961
63,4975.6,0.24419,0.3199,0.82243,0.95115,0.99945,0.98521,0.98003,0.15923,0.13582,0.79001,0.003862,0.003862,0.003862
64,5054.98,0.24235,0.31718,0.82138,0.95269,0.99721,0.98537,0.98009,0.16012,0.13654,0.78875,0.003763,0.003763,0.003763
65,5133.03,0.24188,0.31875,0.82002,0.95331,0.99766,0.98583,0.98046,0.15954,0.13608,0.78905,0.003664,0.003664,0.003664
66,5211.65,0.23924,0.314,0.82004,0.95271,0.99766,0.9855,0.98011,0.15859,0.13556,0.78974,0.003565,0.003565,0.003565
67,5289.24,0.2386,0.31486,0.82007,0.95252,0.99766,0.98569,0.98049,0.15815,0.13446,0.79003,0.003466,0.003466,0.003466
68,5368.33,0.23738,0.31085,0.81892,0.95319,0.99731,0.98593,0.98045,0.15771,0.13387,0.78917,0.003367,0.003367,0.003367
69,5447.16,0.23721,0.31307,0.81825,0.95291,0.99625,0.98582,0.98024,0.15783,0.13367,0.7894,0.003268,0.003268,0.003268
70,5525.99,0.23581,0.30885,0.82038,0.95316,0.99766,0.98558,0.98045,0.15686,0.13269,0.78965,0.003169,0.003169,0.003169
71,5603.65,0.23391,0.30933,0.81877,0.95337,0.99766,0.98571,0.98063,0.1569,0.13213,0.7901,0.00307,0.00307,0.00307
72,5682.23,0.23433,0.31128,0.8187,0.95327,0.99766,0.98563,0.98044,0.15665,0.13206,0.78964,0.002971,0.002971,0.002971
73,5761.67,0.23272,0.30702,0.81787,0.95236,0.99945,0.98553,0.98018,0.15615,0.13162,0.78909,0.002872,0.002872,0.002872
74,5839.19,0.23124,0.30469,0.81782,0.95236,0.99897,0.98557,0.98032,0.15648,0.13079,0.78928,0.002773,0.002773,0.002773
75,5917.64,0.23106,0.30481,0.81802,0.95248,0.99888,0.98549,0.98016,0.1564,0.13137,0.78885,0.002674,0.002674,0.002674
76,5995.21,0.23044,0.30512,0.81842,0.95219,0.9991,0.98527,0.98005,0.15548,0.1306,0.78875,0.002575,0.002575,0.002575
77,6074.86,0.22875,0.30203,0.81666,0.95269,0.99803,0.98537,0.98056,0.15469,0.12987,0.78866,0.002476,0.002476,0.002476
78,6153.39,0.22759,0.30153,0.81738,0.95265,0.99802,0.98528,0.98031,0.15435,0.13028,0.78795,0.002377,0.002377,0.002377
79,6231.35,0.22617,0.30069,0.81691,0.95272,0.998,0.9853,0.9806,0.15395,0.13032,0.78807,0.002278,0.002278,0.002278
80,6309.13,0.22549,0.29826,0.81599,0.95285,0.99785,0.98532,0.98059,0.15408,0.13036,0.78814,0.002179,0.002179,0.002179
81,6386.94,0.22598,0.29991,0.81587,0.95277,0.99792,0.98538,0.98059,0.15399,0.13048,0.78716,0.00208,0.00208,0.00208
82,6466.18,0.22278,0.29613,0.81601,0.95271,0.998,0.98557,0.98093,0.15385,0.13008,0.78712,0.001981,0.001981,0.001981
83,6544.53,0.22379,0.29654,0.8177,0.95266,0.99855,0.98543,0.98072,0.15388,0.12969,0.78791,0.001882,0.001882,0.001882
84,6622.69,0.22191,0.29634,0.81612,0.95264,0.99855,0.98555,0.98109,0.15377,0.12932,0.78798,0.001783,0.001783,0.001783
85,6700.18,0.22141,0.29444,0.81612,0.95243,0.99862,0.98546,0.98128,0.15354,0.12914,0.78807,0.001684,0.001684,0.001684
86,6778.39,0.21962,0.29374,0.81333,0.95244,0.99873,0.98534,0.98094,0.15332,0.12964,0.7876,0.001585,0.001585,0.001585
87,6857.35,0.21792,0.28971,0.81518,0.95256,0.99831,0.98534,0.98091,0.15328,0.1294,0.78746,0.001486,0.001486,0.001486
88,6934.91,0.21709,0.29103,0.81529,0.95246,0.99854,0.98568,0.98118,0.15331,0.12917,0.78735,0.001387,0.001387,0.001387
89,7012.94,0.21667,0.28946,0.81428,0.95251,0.99842,0.98568,0.98121,0.15319,0.12866,0.78733,0.001288,0.001288,0.001288
90,7090.49,0.21566,0.28865,0.81395,0.95259,0.99855,0.98562,0.9811,0.15301,0.12826,0.78701,0.001189,0.001189,0.001189
91,7169.3,0.18865,0.20837,0.80107,0.95263,0.99878,0.98563,0.98127,0.1529,0.12819,0.78672,0.00109,0.00109,0.00109
92,7246.68,0.18779,0.20664,0.80077,0.95278,0.99873,0.98577,0.98125,0.15258,0.12823,0.78624,0.000991,0.000991,0.000991
93,7323.83,0.18311,0.20338,0.79993,0.95288,0.99876,0.98578,0.98136,0.15241,0.12834,0.78597,0.000892,0.000892,0.000892
94,7399.87,0.18208,0.20158,0.79995,0.95292,0.99865,0.98578,0.98117,0.15193,0.12771,0.78607,0.000793,0.000793,0.000793
95,7476.47,0.18219,0.20252,0.80136,0.9526,0.99835,0.98573,0.98113,0.15165,0.12762,0.78611,0.000694,0.000694,0.000694
96,7554.74,0.181,0.19971,0.80039,0.9526,0.99841,0.98573,0.98139,0.15109,0.12745,0.78608,0.000595,0.000595,0.000595
97,7631.61,0.17754,0.19694,0.79854,0.95264,0.99842,0.98572,0.98146,0.15063,0.12702,0.78607,0.000496,0.000496,0.000496
98,7709.21,0.17674,0.19633,0.80119,0.95335,0.99825,0.98575,0.98175,0.15029,0.12685,0.78617,0.000397,0.000397,0.000397
99,7785.09,0.17582,0.19373,0.80008,0.95263,0.99835,0.98574,0.98152,0.14973,0.12635,0.78642,0.000298,0.000298,0.000298
100,7862.55,0.17332,0.19198,0.79744,0.95262,0.99836,0.98579,0.98163,0.14953,0.12615,0.78653,0.000199,0.000199,0.000199
