epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,158.965,1.42701,1.66007,1.21481,0.39716,0.2451,0.19125,0.10267,1.36767,1.47905,1.20733,0.000371313,0.000371313,0.000371313
43,162.683,1.4064,1.60915,1.21909,0.39727,0.26534,0.19325,0.10869,1.24687,1.42454,1.17106,0.000365125,0.000365125,0.000365125
44,166.399,1.3978,1.57267,1.18684,0.36723,0.26668,0.18967,0.10421,1.29226,1.4434,1.18756,0.000358938,0.000358938,0.000358938
45,170.033,1.43794,1.657,1.22043,0.35159,0.27736,0.1988,0.1075,1.37451,1.46795,1.21278,0.00035275,0.00035275,0.00035275
46,173.755,1.40306,1.62458,1.20682,0.37562,0.2969,0.20511,0.11354,1.32804,1.47212,1.21422,0.000346563,0.000346563,0.000346563
47,177.463,1.41411,1.58599,1.19907,0.36569,0.29416,0.20419,0.11635,1.27078,1.44755,1.19513,0.000340375,0.000340375,0.000340375
48,181.189,1.37427,1.54649,1.16814,0.33069,0.31022,0.19434,0.10489,1.46844,1.5007,1.25647,0.000334188,0.000334188,0.000334188
49,184.796,1.36254,1.5345,1.17948,0.3439,0.29769,0.19407,0.10699,1.36642,1.45265,1.21927,0.000328,0.000328,0.000328
50,188.521,1.39851,1.5654,1.20836,0.3657,0.3149,0.20083,0.1154,1.25813,1.40603,1.1808,0.000321812,0.000321812,0.000321812
51,192.176,1.37562,1.56902,1.19842,0.36237,0.30802,0.20557,0.11365,1.3462,1.43148,1.21349,0.000315625,0.000315625,0.000315625
52,195.816,1.33801,1.57086,1.19272,0.36731,0.31551,0.2102,0.11398,1.30009,1.41117,1.19811,0.000309437,0.000309437,0.000309437
53,199.522,1.33065,1.54018,1.16269,0.36423,0.31279,0.20857,0.113,1.29617,1.41973,1.19628,0.00030325,0.00030325,0.00030325
54,203.254,1.33759,1.51981,1.17664,0.35515,0.32068,0.22081,0.12394,1.25156,1.37497,1.17417,0.000297063,0.000297063,0.000297063
55,207.024,1.2735,1.48937,1.1538,0.37091,0.3303,0.23081,0.12858,1.22537,1.34765,1.16894,0.000290875,0.000290875,0.000290875
56,210.688,1.39806,1.5004,1.18904,0.38568,0.31429,0.23722,0.1305,1.22989,1.35961,1.17461,0.000284688,0.000284688,0.000284688
57,214.407,1.34522,1.5102,1.19406,0.39482,0.31101,0.23805,0.13141,1.24332,1.36167,1.17577,0.0002785,0.0002785,0.0002785
58,218.069,1.31011,1.48533,1.15987,0.40546,0.28998,0.23296,0.12611,1.27388,1.37022,1.18924,0.000272313,0.000272313,0.000272313
59,221.726,1.34767,1.52382,1.17688,0.36842,0.30857,0.228,0.12424,1.2516,1.34719,1.18289,0.000266125,0.000266125,0.000266125
60,225.433,1.33457,1.47524,1.16163,0.29786,0.32274,0.23136,0.12888,1.25229,1.35196,1.18141,0.000259938,0.000259938,0.000259938
61,229.094,1.32986,1.54156,1.19049,0.31871,0.32482,0.24354,0.13105,1.29804,1.35111,1.19022,0.00025375,0.00025375,0.00025375
62,232.786,1.27058,1.43791,1.16527,0.33243,0.34147,0.24948,0.13688,1.21336,1.32171,1.1688,0.000247563,0.000247563,0.000247563
63,236.52,1.28861,1.49042,1.18308,0.31301,0.33691,0.24712,0.13519,1.20649,1.30887,1.16316,0.000241375,0.000241375,0.000241375
64,240.275,1.2902,1.462,1.14522,0.32696,0.3574,0.24576,0.13366,1.25987,1.31142,1.17695,0.000235188,0.000235188,0.000235188
65,244,1.30341,1.472,1.15238,0.33832,0.35777,0.24943,0.13337,1.26858,1.31536,1.18096,0.000229,0.000229,0.000229
66,247.67,1.23762,1.39969,1.13152,0.34207,0.3759,0.2606,0.13939,1.18924,1.29399,1.15748,0.000222813,0.000222813,0.000222813
67,251.372,1.27094,1.43022,1.15764,0.36292,0.3596,0.2685,0.14279,1.20543,1.29798,1.16612,0.000216625,0.000216625,0.000216625
68,255.144,1.29315,1.4215,1.16256,0.35994,0.35323,0.2777,0.14625,1.20382,1.31406,1.1689,0.000210437,0.000210437,0.000210437
69,258.815,1.26336,1.43519,1.13238,0.34927,0.34432,0.2752,0.14774,1.19143,1.30687,1.16171,0.00020425,0.00020425,0.00020425
70,262.504,1.26174,1.38257,1.14567,0.32923,0.33602,0.26617,0.14477,1.18046,1.31384,1.15662,0.000198063,0.000198063,0.000198063
71,266.149,1.31195,1.45105,1.17238,0.3267,0.33683,0.26084,0.14534,1.18289,1.3132,1.15729,0.000191875,0.000191875,0.000191875
72,269.842,1.28326,1.45651,1.15627,0.35,0.33526,0.2672,0.1468,1.22202,1.32438,1.17195,0.000185688,0.000185688,0.000185688
73,273.456,1.27569,1.44265,1.1479,0.35277,0.343,0.26582,0.14542,1.19669,1.31937,1.1647,0.0001795,0.0001795,0.0001795
