epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1221.52,1.28354,1.57133,1.28625,0.74758,0.73296,0.78049,0.52856,1.00766,1.0403,1.14277,0.000396265,0.000396265,0.000396265
43,1249.98,1.29433,1.57566,1.29156,0.76703,0.74155,0.79478,0.54681,0.98363,1.03204,1.12972,0.000389661,0.000389661,0.000389661
44,1279.63,1.2836,1.56823,1.29192,0.77474,0.73743,0.79329,0.54353,1.005,0.99215,1.14629,0.000383058,0.000383058,0.000383058
45,1308.1,1.27427,1.56886,1.28587,0.77571,0.74508,0.79932,0.54185,1.01637,1.02325,1.13743,0.000376455,0.000376455,0.000376455
46,1336.33,1.27626,1.54871,1.28029,0.77177,0.7462,0.79987,0.54663,0.99258,1.00255,1.12855,0.000369851,0.000369851,0.000369851
47,1364.61,1.28077,1.56679,1.29259,0.78287,0.75205,0.80539,0.54869,0.99808,0.99143,1.13509,0.000363248,0.000363248,0.000363248
48,1392.79,1.26643,1.55388,1.28373,0.76312,0.75153,0.80091,0.55896,0.95744,0.98702,1.11456,0.000356645,0.000356645,0.000356645
49,1421.04,1.26143,1.54969,1.27735,0.78634,0.75225,0.81109,0.5689,0.95431,0.96783,1.11291,0.000350042,0.000350042,0.000350042
50,1449.35,1.26582,1.53042,1.27651,0.79226,0.75704,0.81804,0.55746,1.00555,0.98061,1.13164,0.000343438,0.000343438,0.000343438
51,1477.52,1.25615,1.52719,1.27067,0.78562,0.75343,0.81716,0.56315,0.98511,0.95963,1.11086,0.000336835,0.000336835,0.000336835
52,1505.89,1.26534,1.54547,1.28106,0.79445,0.75203,0.81971,0.58756,0.90336,0.94375,1.08707,0.000330232,0.000330232,0.000330232
53,1534.12,1.24873,1.53622,1.27173,0.78098,0.75687,0.8132,0.57239,0.93887,0.95494,1.10151,0.000323628,0.000323628,0.000323628
54,1562.13,1.24759,1.53038,1.26845,0.7847,0.76362,0.81625,0.57129,0.93989,0.96166,1.0976,0.000317025,0.000317025,0.000317025
55,1590.28,1.23761,1.50735,1.26312,0.8007,0.76557,0.83095,0.58683,0.93842,0.91963,1.09683,0.000310422,0.000310422,0.000310422
56,1619.52,1.23069,1.49406,1.25843,0.79902,0.76036,0.82671,0.5629,1.01414,0.94949,1.13271,0.000303818,0.000303818,0.000303818
57,1648.97,1.23979,1.514,1.26603,0.80928,0.77047,0.83679,0.58745,0.93708,0.93054,1.08758,0.000297215,0.000297215,0.000297215
58,1677.46,1.22948,1.50103,1.25441,0.80977,0.78132,0.83806,0.60779,0.87754,0.89352,1.07163,0.000290612,0.000290612,0.000290612
59,1706.11,1.22089,1.48278,1.25463,0.81596,0.77908,0.84322,0.59193,0.94193,0.90854,1.09237,0.000284009,0.000284009,0.000284009
60,1734.55,1.2241,1.48743,1.25396,0.81861,0.77113,0.84463,0.61203,0.8823,0.8858,1.06723,0.000277405,0.000277405,0.000277405
61,1763.13,1.21736,1.47954,1.24989,0.81114,0.76765,0.83891,0.59801,0.91233,0.91132,1.0731,0.000270802,0.000270802,0.000270802
62,1791.41,1.2184,1.49144,1.25503,0.81726,0.77002,0.84193,0.60493,0.89922,0.897,1.06679,0.000264199,0.000264199,0.000264199
63,1819.51,1.2132,1.47531,1.24657,0.81215,0.7795,0.84724,0.61369,0.88109,0.88479,1.06055,0.000257595,0.000257595,0.000257595
64,1847.8,1.21682,1.48461,1.25298,0.82755,0.77593,0.85213,0.61801,0.88519,0.88042,1.05743,0.000250992,0.000250992,0.000250992
65,1875.97,1.217,1.478,1.25378,0.8151,0.78405,0.851,0.61751,0.8878,0.86997,1.06251,0.000244389,0.000244389,0.000244389
66,1903.96,1.21361,1.47218,1.24872,0.8256,0.78406,0.85353,0.62621,0.87767,0.8543,1.0544,0.000237785,0.000237785,0.000237785
